chembl_id,smiles,IC50[nM]
CHEMBL207869,Clc1c(OCc2cc(F)ccc2)ccc(Nc2c(C#Cc3ncccn3)cncn2)c1,77.0
CHEMBL3940060,ClCC(=O)OCCN1C(=O)Oc2c1cc1c(Nc3cc(Cl)c(F)cc3)ncnc1c2,330.0
CHEMBL3678951,FC(F)(F)c1cc(Nc2n(C(C)C)c3nc(Nc4ccc(N5CC[NH+](C)CC5)cc4)ncc3n2)ccc1,1.0
CHEMBL504034,Clc1c(OCc2cc(F)ccc2)ccc(Nc2ncnc3c2sc(C#C[C@H]2NC[C@H](OC(=O)NCCS(=O)(=O)C)C2)c3)c1,40.0
CHEMBL158797,S(Sc1n(C)c2c(c1C(=O)NCC(O)CO)cccc2)c1n(C)c2c(c1C(=O)NCC(O)CO)cccc2,43000.01
CHEMBL4069003,Brc1cc(Nc2ncnc3c2cc(OCCCOP(=O)(N(CCCl)CCCl)N)cc3)ccc1,3.0
CHEMBL599047,Brc1cc(Nc2ncnc3c2cc(NC(=O)CN2C(=O)c4c(S2)cccc4)cc3)ccc1,0.85
CHEMBL93545,Brc1cc(Nc2ncnc3c2cc([N+](=O)[O-])c(N)c3)ccc1,53.0
CHEMBL93181,Brc1cc(Nc2ncnc3c2ccc(OC)c3)ccc1,10.0
CHEMBL203644,Clc1c(F)ccc(Nc2ncnc3c2cc(NC(=O)C#CC)nc3)c1,0.3
CHEMBL591706,Clc1c(O)c(CN(C(=O)Nc2ccccc2)CCCC)ccc1,32119.99
CHEMBL217536,Brc1cc(Nc2ncnc3c2cc(NC(=O)C2SSCC2)cc3)ccc1,60.0
CHEMBL498134,Fc1cc(Cn2ncc3c2ccc(Nc2c(/C=N/N4CC[NH+](C)CC4)c(N)ncn2)c3)ccc1,16.0
CHEMBL248674,O(C)c1c(OC)cc2ncnc(Nc3cc(C#CCCO)ccc3)c2c1,402.1
CHEMBL129579,Brc1cc(Nc2ncnc3c2cnc(NCC(O)C(O)C(O)C(O)CO)c3)ccc1,4.79
CHEMBL78150,Oc1c(C(C)(C)C)cc(C=C(C#N)C#N)cc1C(C)(C)C,460000.07
CHEMBL1241948,S(=O)([O-])(=Nc1cc(-c2nn(C(C)C)c3ncnc(N)c23)ccc1)C,100000.0
CHEMBL3233765,Clc1c(F)ccc(Nc2ncnc3sc(NC(=O)CN4CC[NH+](C)CC4)cc23)c1,3399.0
CHEMBL103860,O=C([O-])c1c(O)ccc(CCc2c(O)ccc(O)c2)c1,3300.0
CHEMBL3752916,FC(F)(F)c1cc(NC(=O)Nc2sccn2)cc(-c2ncn(C)c2)c1,310.76
CHEMBL93784,Brc1cc(Nc2ncnc3c2cc(NC(=O)C#CCN2C(COC)CCC2)cc3)ccc1,65.0
CHEMBL2047247,Clc1ccc(Nc2nc(N)nc3c2-c2c(cccc2)C3)cc1,26000.0
CHEMBL592153,O=C(NCCCCCCCCCCCCCCCCCCCC)COc1cc([O-])c2C(=O)C=C(c3ccccc3)Oc2c1,1350.0
CHEMBL1947122,Clc1cc(Nc2c(C(=O)[O-])c[nH+]c3c2cc(OC)c(OC)c3)ccc1,9021.0
CHEMBL2283257,Brc1c(NC(=O)/C=C/c2ccccc2)cccc1,15740.0
CHEMBL53637,Clc1cc(Nc2ncnc3c2cc(NC(=O)C=C)cc3)ccc1,1.6
CHEMBL1257911,Clc1c(C2=Nc3c(n[nH]c3)Nc3c2cc(N)cc3)cccc1,989.0
