molecule_chembl_id,IC50,units,smiles,pIC50
CHEMBL388978,8.34,nM,CN[C@@H]1C[C@H]2O[C@@](C)([C@@H]1OC)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4,8.078833949362261
CHEMBL4568087,290.0,nM,Cn1cc(-c2cnc3c(-c4csc(C(=O)N[C@@H]5CCCC[C@@H]5N)c4)cnn3c2)cn1,6.537602002101044
CHEMBL2012519,388.2,nM,COc1cc(O)c2c(c1)CCC[C@H](O)[C@H](O)C(=O)/C=C\C[C@H](C)OC2=O,6.4109444689476565
CHEMBL4552628,3300.0,nM,Cc1sc(C(=O)N[C@@H]2[C@H](N)CCCC2(F)F)cc1-c1cnn2cc(Cl)cnc12,5.481486060122112
CHEMBL456,4500.0,nM,C=C(CC)C(=O)c1ccc(OCC(=O)O)c(Cl)c1Cl,5.346787486224656
CHEMBL456689,6200.0,nM,COc1cc2[nH]c3ncnc(N4CCN(C(=S)Nc5ccc(S(=O)(=O)Nc6ncccn6)cc5)CC4)c3c2cc1OC,5.207608310501746
CHEMBL1788116,10000.0,nM,N#C/C(=C1/Nc2ccccc2S1)c1ccnc(NCCc2cccnc2)n1.O=C(O)C(F)(F)F.O=C(O)C(F)(F)F,5.0
CHEMBL3884319,10000.0,nM,CC1(C)C(=O)N([C@H]2CCc3c(O)cccc32)c2nc(Nc3ccccc3)ncc21,5.0
CHEMBL507249,15000.0,nM,O[C@H]1CC[C@H](c2n[nH]cc2-c2ccnc(NC3CCCC3)n2)CC1,4.823908740944319
CHEMBL449216,16000.0,nM,NC(=O)c1nnc2ccccc2c1N,4.795880017344075
CHEMBL4569508,19000.0,nM,O=C(NCC(F)(F)F)c1cc(-c2cnn3cc(-c4ccc(OCCN5CCCCC5)cc4)cnc23)cs1,4.721246399047171
CHEMBL4550702,35000.0,nM,Cn1cc(-c2cnc3c(-c4csc(C(=O)NCC(F)(F)F)c4)cnn3c2)cn1,4.455931955649724
