molecule_chembl_id,IC50,units,smiles,pIC50
CHEMBL4649115,6.0,nM,C=CC(C)(C)c1cc(C(=O)c2c(-c3cc(-c4cc5cc(C(C)(C)C=C)c(O)cc5oc4=O)c(O)cc3O)oc3cc(O)ccc23)c(O)cc1O,8.221848749616356
CHEMBL169,31.0,nM,C[C@H]1[C@H](C)CC[C@]2(C(=O)O)CC[C@]3(C)C(=CC[C@@H]4[C@@]5(C)CC[C@H](O)C(C)(C)[C@@H]5CC[C@]43C)[C@H]12,7.508638306165727
CHEMBL939,55.0,nM,COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1OCCCN1CCOCC1,7.259637310505756
CHEMBL438139,80.0,nM,COc1ccc([C@@]23Oc4cc(OC)cc(OC)c4[C@]2(O)[C@H](O)[C@H](C(=O)N(C)C)[C@H]3c2ccccc2)cc1,7.096910013008056
CHEMBL4778826,134.0,nM,COc1ccc(/C=C/C(=O)c2nnn(-c3ccc(Cl)cc3)c2C)cc1OC,6.872895201635192
CHEMBL218562,150.0,nM,COc1ccc(/C=C/c2ccccc2F)cc1,6.823908740944319
CHEMBL83880,150.0,nM,CN(C)c1ccc(/C=C/c2ccccc2)cc1,6.823908740944319
CHEMBL384590,230.0,nM,CCCCCCCCCCCCCCCCS(=O)(=O)NCCCNCCCCNCCCN,6.638272163982407
CHEMBL1077979,250.0,nM,COc1cc(O)c2c(c1)/C=C/C[C@H](O)[C@H](O)C(=O)/C=C\C[C@H](C)OC2=O,6.6020599913279625
CHEMBL214521,300.0,nM,CCOc1ccc(/C=C/c2ccccc2)cc1,6.522878745280337
CHEMBL218163,310.0,nM,CCCCCCCCCCS(=O)(=O)NCCCNCCCCNCCCN,6.508638306165727
CHEMBL218434,340.0,nM,CCCCCCCCCCCCS(=O)(=O)NCCCNCCCCNCCCN,6.468521082957745
CHEMBL215186,500.0,nM,COc1ccc(/C=C/c2cccc(O)c2O)cc1,6.301029995663981
CHEMBL215583,600.0,nM,COc1ccc(/C=C/c2cccc(OC)c2)cc1,6.221848749616356
CHEMBL215432,600.0,nM,COc1ccc(/C=C/c2ccc(O)c(O)c2)cc1,6.221848749616356
CHEMBL271669,600.0,nM,Cc1ccc2c(c1)-c1ccc3cccnc3c1NS2(=O)=O,6.221848749616356
CHEMBL1801948,750.0,nM,C[C@H]1C/C=C\C(=O)[C@@H](O)[C@@H](O)C/C=C/c2cc(O)cc(O)c2C(=O)O1,6.1249387366083
CHEMBL214885,800.0,nM,COc1ccc(/C=C/c2cccc(C)c2)cc1,6.096910013008056
CHEMBL383922,900.0,nM,COc1ccc(/C=C/c2ccc(C)cc2)cc1,6.045757490560675
CHEMBL273149,900.0,nM,COc1cc2ccc(C)nc2c2c1-c1cc(C)ccc1S(=O)(=O)N2,6.045757490560675
CHEMBL402638,900.0,nM,Cc1ccc2cccc(NS(=O)(=O)c3cccc([N+](=O)[O-])c3)c2n1,6.045757490560675
CHEMBL256061,1000.0,nM,COc1cc(NS(=O)(=O)c2ccc(C)cc2N)c2ncccc2c1,6.0
CHEMBL271233,1000.0,nM,COc1ccc(S(=O)(=O)Nc2cccc3ccc(C)nc23)c([N+](=O)[O-])c1,6.0
CHEMBL218615,1000.0,nM,COc1ccc(/C=C/c2cccc(Cl)c2)cc1,6.0
CHEMBL256403,1000.0,nM,Cc1ccc2cccc(NS(=O)(=O)c3ccc(Cl)s3)c2n1,6.0
CHEMBL428064,1000.0,nM,O=S1(=O)Nc2c(ccc3cccnc23)-c2ccccc21,6.0
CHEMBL404128,1000.0,nM,COc1ccc2c(c1)-c1ccc3cccnc3c1NS2(=O)=O,6.0
CHEMBL272552,1000.0,nM,O=S1(=O)Nc2c(ccc3cccnc23)-c2cc(C(F)(F)F)ccc21,6.0
CHEMBL401504,1100.0,nM,O=S(=O)(Nc1cccc2cccnc12)c1ccc(Br)s1,5.958607314841775
CHEMBL269941,1100.0,nM,Cc1ccc2cccc(NS(=O)(=O)c3ccc(C(F)(F)F)cc3[N+](=O)[O-])c2n1,5.958607314841775
CHEMBL215767,1100.0,nM,COc1ccc(/C=C/c2cccc(F)c2)cc1,5.958607314841775
CHEMBL429599,1100.0,nM,O=S1(=O)Nc2c(ccc3cccnc23)-c2cc(Cl)ccc21,5.958607314841775
