Drug_ID	Drug	Y
"Propanolol"	"CC(C)NCC(O)COc1cccc2ccccc12.[Cl]"	1
"Terbutylchlorambucil"	"CC(C)(C)OC(=O)CCCc1ccc(N(CCCl)CCCl)cc1"	1
"40730"	"CC1COc2c(N3CCN(C)CC3)c(F)cc3c(=O)c(C(=O)O)cn1c23"	1
"24"	"CC(=O)NCCCOc1cccc(CN2CCCCC2)c1"	1
"cloxacillin"	"Cc1onc(-c2ccccc2Cl)c1C(=O)N[C@@H]1C(=O)N2[C@@H](C(=O)O)C(C)(C)S[C@H]12"	1
"cefoperazone"	"CCN1CCN(C(=O)N[C@@H](C(=O)N[C@@H]2C(=O)N3C(C(=O)O)=C(CSc4nnnn4C)CS[C@H]23)c2ccc(O)cc2)C(=O)C1=O"	1
"rolitetracycline"	"CN(C)[C@@H]1C(=O)/C(=C(/O)NCN2CCCC2)C(=O)[C@@]2(O)C(=O)C3=C(O)c4c(O)cccc4[C@@](C)(O)[C@H]3C[C@@H]12"	1
"ondansetron"	"Cc1nccn1CC1CCc2c(c3ccccc3n2C)C1=O"	1
"diltiazem"	"COc1ccc([C@@H]2Sc3ccccc3N(CCN(C)C)C(=O)[C@@H]2OC(C)=O)cc1"	1
"Amiloride"	"NC(N)=NC(=O)c1nc(Cl)c(N)nc1N"	1
"M2L-663581"	"CN1Cc2c(-c3noc(C(C)(O)CO)n3)ncn2-c2cccc(Cl)c2C1=O"	0
"alovudine"	"Cc1cn([C@H]2C[C@H](F)[C@@H](CO)O2)c(=O)[nH]c1=O"	1
"18"	"ClCCl"	1
"24959"	"CC(C)(C)NC(=O)C1CC2CCCCC2CN1CC(O)C(Cc1ccccc1)NC(=O)C(CC(N)=O)NC(=O)c1ccc2ccccc2n1"	1
"methadone"	"CCC(=O)C(CC(C)N(C)C)(c1ccccc1)c1ccccc1"	1
"alfentanil"	"CCC(=O)N(c1ccccc1)C1(COC)CCN(CCn2nnn(CC)c2=O)CC1"	1
"BRL53080"	"CN(C)C(=O)C(CCN1CCC(O)(c2ccc(Cl)cc2)CC1)(c1ccccc1)c1ccccc1"	1
"hyoscyamine"	"CN1C2CCC1CC(OC(=O)[C@H](CO)c1ccccc1)C2"	1
"glyburide"	"COc1ccc(Cl)cc1C(=O)NCCc1ccc(S(=O)(=O)NC(=O)NC2CCCCC2)cc1"	1
"lamotrigine"	"Nc1nnc(-c2cccc(Cl)c2Cl)c(N)n1"	1
"2-Methylpentane"	"CCCC(C)C"	1
"Dexamfetamine"	"C[C@H](N)Cc1ccccc1"	1
"SKF-93619"	"CN(C)Cc1ccc(CSCCNc2nc(=O)c(Cc3ccc4ccccc4c3)c[nH]2)o1"	0
"nadolol"	"CC(C)(C)NCC(O)COc1cccc2c1C[C@H](O)[C@H](O)C2"	1
"sufentanil"	"CCC(=O)N(c1ccccc1)C1(COC)CCN(CCc2cccs2)CC1"	1
"12"	"CCNC(=NC#N)NCCSCc1ncccc1Br"	0
"zolpidem"	"Cc1ccc(-c2nc3ccc(C)cn3c2CC(=O)N(C)C)cc1"	1
"clozapine"	"CN1CCN(C2=c3ccccc3=Nc3ccc(Cl)cc3N2)CC1"	1
"Org12692"	"FC(F)(F)c1ccc(N2CCNCC2)nc1Cl"	1
"piperacillin"	"CCN1CCN(C(=O)N[C@@H](C(=O)N[C@@H]2C(=O)N3[C@@H](C(=O)O)C(C)(C)S[C@H]23)c2ccccc2)C(=O)C1=O.O"	1
"Pentobarbital"	"CCCC(C)C1(CC)C(=O)NC(=O)NC1=O"	1
"Levofloxacin"	"C[C@H]1COc2c(N3CCN(C)CC3)c(F)cc3c(=O)c(C(=O)O)cn1c23"	1
"compound 40"	"O=C(NCCCOc1cccc(CN2CCCCC2)c1)c1ccccc1"	1
"RO19-4603"	"CN1Cc2c(C(=O)OC(C)(C)C)ncn2-c2ccsc2C1=O"	1
"fentanyl"	"CCC(=O)N(c1ccccc1)C1CCN(CCc2ccccc2)CC1"	1
"etomidate"	"CCOC(=O)c1cncn1C(C)c1ccccc1"	1
"11a"	"CN(C)c1cc(-c2nc(N)n[nH]2)ccn1"	0
"prochlorperazine"	"CN1CCN(CCCN2c3ccccc3Sc3ccc(Cl)cc32)CC1"	1
"2-(3'-Iodo-4'-aminophenyl)-6-hydroxybenzothiazole"	"Nc1ccc(-c2nc3ccc(O)cc3s2)cc1I"	1
"compound 34"	"CC(=O)Nc1cccc(-c2csc(N=C(N)N)n2)c1"	0
"granisetron"	"CN1[C@H]2CCC[C@@H]1CC(NC(=O)c1nn(C)c3ccccc13)C2"	1
"thiamphenicol"	"CS(=O)(=O)c1ccc([C@@H](O)[C@@H](CO)NC(=O)C(Cl)Cl)cc1"	1
"16"	"NC(N)=Nc1nc(-c2ccccc2)cs1"	1
"mexiletine"	"Cc1cccc(C)c1OCC(C)N"	1
"dextropropoxyphene"	"CCC(=O)O[C@](Cc1ccccc1)(c1ccccc1)[C@H](C)CN(C)C"	1
"Nor-1-chlorpromazine"	"CNCCCN1c2ccccc2Sc2ccc(Cl)cc21"	1
"compound 37"	"CN(C)Cc1ccc(-c2cccc(NC3N=CC=C3[N+](=O)[O-])c2)o1"	1
"cefamandole"	"Cn1nnnc1SCC1=C(C(=O)O)N2C(=O)[C@@H](NC(=O)[C@H](O)c3ccccc3)[C@H]2SC1"	1
"Y-G 15"	"CN(C)CCc1ccccn1"	1
"Org13011"	"O=C1CCCN1CCCCN1CCN(c2cc(C(F)(F)F)ccn2)CC1"	1
"Quinidine"	"C=C[C@H]1CN2CC[C@H]1C[C@@H]2[C@@H](O)c1ccnc2ccc(OC)cc12"	1
"38480"	"CCc1ccccc1"	1
"17"	"NC(N)=Nc1nc(-c2cccc(N)c2)cs1"	1
"vinblastine"	"CC[C@]1(O)C[C@H]2CN(CCc3c([nH]c4ccccc34)[C@@](C(=O)OC)(c3cc4c(cc3OC)N(C)[C@H]3[C@@](O)(C(=O)OC)[C@H](OC(C)=O)[C@]5(CC)C=CCN6CC[C@]43[C@@H]65)C2)C1"	1
"Bacitracin"	"CCCC(=O)Nc1ccc(OCC(O)CNC(C)C)c(C(C)=O)c1"	1
"Nor-2-chlorpromazine"	"NCCCN1c2ccccc2Sc2ccc(Cl)cc21"	1
"compound 36"	"CN(C)Cc1ccc(CSCCNc2[nH]cc(Cc3ccccc3)c2[N+](=O)[O-])o1"	1
"19"	"CNC(=NC#N)Nc1cccc(-c2csc(N=C(N)N)n2)c1"	0
"Y-G 14"	"CNCCc1ccccn1"	1
"sertraline"	"CN[C@H]1CC[C@@H](c2ccc(Cl)c(Cl)c2)c2ccccc21.[Cl-].[H+]"	1
"vincristine"	"CC[C@]1(O)C[C@H]2CN(CCc3c([nH]c4ccccc34)[C@@](C(=O)OC)(c3cc4c(cc3OC)N(C=O)[C@H]3[C@@](O)(C(=O)OC)[C@H](OC(C)=O)[C@]5(CC)C=CCN6CC[C@]43[C@@H]65)C2)C1"	1
"SB-222200"	"CCC(NC(=O)c1c(C)c(-c2ccccc2)nc2ccccc12)c1ccccc1"	1
"SB-656104-A"	"O=S(=O)(c1ccc2cc[nH]c2c1)N1CCCC1CCN1CCC(Oc2cccc(Cl)c2)CC1"	1
"compound 38"	"CN(C)Cc1ccnc(-c2cccc(NC3N=CC=C3[N+](=O)[O-])c2)c1"	1
"maprotiline"	"CNCCCC12CCC(c3ccccc31)c1ccccc12"	1
"compound 43"	"c1cc(CN2CCCCC2)cc(OCCCNc2nccs2)c1"	1
"MIL-663581"	"CN1Cc2c(-c3noc(C(C)(C)O)n3)ncn2-c2cccc(Cl)c2C1=O"	0
"cefotaxime"	"CO/N=C(\C(=O)N[C@H]1C(=O)N2C(C(=O)[O-])=C(COC(C)=O)CS[C@@H]12)c1csc(N)n1.[Na+]"	1
"carbamazepine-10"	"NC(=O)N1c2ccccc2C2OC2c2ccccc21"	1
"Cyclohexane"	"C1CCCCC1"	1
"2"	"Cc1csc(N=C(N)N)n1"	1
"SKF89124"	"CCCN(CCC)CCc1ccc(O)c2c1CC(=O)N2"	1
"Org5222"	"CN1CC2c3ccccc3Oc3ccc(Cl)cc3C2C1"	1
"compound 35"	"CN(C)Cc1ccc(CSCCNC2N=CC=C2[N+](=O)[O-])o1"	0
"cefuroxime"	"CO/N=C(\C(=O)N[C@@H]1C(=O)N2C(C(=O)O)=C(COC(N)=O)CS[C@H]12)c1ccco1"	1
"compound 45"	"c1cc(CN2CCCCC2)cc(OCCCNc2nc3ccccc3o2)c1"	1
"Org4428"	"Cc1cccc2c1Oc1ccccc1C1(O)CCN(C)CC21"	1
"compound 32"	"O=[N+]([O-])C1=CC=NC1NCCSCc1ccccn1"	1
"Bretyliumtosilate"	"CCCSc1ccc2[nH]c(NC(=O)OC)nc2c1"	1
"Y-G 20"	"NCCc1cn2ccccc2n1"	0
"ornidazole"	"Cc1ncc([N+](=O)[O-])n1CC(O)CCl"	1
"SKF101468"	"CCCN(CCC)CCc1cccc2c1CC(=O)N2"	1
"Org30526"	"Clc1ccc2c(c1)C1CNCC1c1ccccc1O2"	1
"36"	"CN(C)CCC=C1c2ccccc2CCc2ccccc21"	1
"ceftriaxone"	"CO/N=C(\C(=O)N[C@@H]1C(=O)N2C(C(=O)O)=C(CSc3nc(=O)c(=O)[nH]n3C)CS[C@H]12)c1csc(N)n1"	1
"compound 42"	"c1ccc(NCCCOc2cccc(CN3CCCCC3)c2)nc1"	1
"Org32104"	"Cc1cccc2c1Oc1ccccc1C1(O)CCNCC21"	1
"compound 31"	"O=[N+]([O-])C1=CC=NC1NCCSCc1ncccc1Br"	1
"SB204457"	"COc1cc2c(c(OC)c1OC)-c1ccc(OC)c(=O)cc1C(NC(C)=O)CC2"	1
"compound 41"	"OCCCOc1cccc(CN2CCCCC2)c1"	1
"clomethiazole"	"Cc1ncsc1CCCl"	1
"celiprolol"	"CCN(CC)C(=O)Nc1ccc(OCC(O)CNC(C)(C)C)c(C(C)=O)c1"	1
"\1,1,1-Trifluro-2-chloroethane\\"\""	"FC(F)(F)CCl"	1
"33"	"CC(C)c1nc(-c2ncn3c2CN(C)C(=O)c2c(Cl)cccc2-3)no1"	1
"cefoxitin"	"CO[C@@]1(NC(=O)Cc2cccs2)C(=O)N2C(C(=O)O)=C(COC(N)=O)CS[C@@H]21"	1
"Org34167"	"C=CCC(N)c1ccccc1-c1noc2ccccc12"	1
"9-OH Risperidone"	"Cc1nc2n(c(=O)c1CCN1CCC(c3noc4cc(F)ccc34)CC1)CCCC2O"	1
"acetaminophen"	"CC(=O)Nc1ccc(O)cc1"	1
"acetylsalicylate"	"CC(=O)Oc1ccccc1C(=O)O"	0
"allopurinol"	"O=c1ncnc2[nH][nH]cc1-2"	0
"Alprostadil"	"CCCCC[C@H](O)/C=C/[C@H]1[C@H](O)CC(=O)[C@@H]1CCCCCCC(=O)O"	0
"aminophylline"	"Cn1c(=O)c2[nH]cnc2n(C)c1=O.Cn1c(=O)c2[nH]cnc2n(C)c1=O.NCCN"	0
"Amiodarone"	"CCCCc1oc2ccccc2c1C(=O)c1cc(I)c(OCCN(CC)CC)c(I)c1"	0
"amoxicillin"	"CC1(C)S[C@@H]2[C@H](NC(=O)[C@H](N)c3ccc(O)cc3)C(=O)N2[C@H]1C(=O)O.O.O.O"	0
"ampicillin"	"CC1(C)S[C@@H]2[C@H](NC(=O)[C@H](N)c3ccccc3)C(=O)N2[C@H]1C(=O)O"	0
"androsan"	"C[C@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3CC[C@@]21C"	0
"oxaflumazine"	"FC(F)(F)c1ccc2c(c1)N(CCCN1CCN(CCC3OCCCO3)CC1)c1ccccc1S2.O=C(O)CCC(=O)O"	1
