activity_id,assay_chembl_id,assay_description,assay_type,molecule_chembl_id,relation,units,IC50,target_chembl_id,target_organism,type
32262,CHEMBL816964,Inhibition of tyrosine phosphorylation in cells expressing human VEGFR2 (Flk-1/KDR) kinase,B,CHEMBL68920,=,nM,16500.0,CHEMBL279,Homo sapiens,IC50
32335,CHEMBL817617,Inhibition of Vascular endothelial growth factor receptor 2 at 5 uM ATP,B,CHEMBL69638,=,nM,7100.0,CHEMBL279,Homo sapiens,IC50
33033,CHEMBL812621,Inhibitory activity towards vascular endothelial growth factor receptor 2,B,CHEMBL419526,=,nM,1880.0,CHEMBL279,Homo sapiens,IC50
33408,CHEMBL816964,Inhibition of tyrosine phosphorylation in cells expressing human VEGFR2 (Flk-1/KDR) kinase,B,CHEMBL443268,=,nM,10100.0,CHEMBL279,Homo sapiens,IC50
34276,CHEMBL812621,Inhibitory activity towards vascular endothelial growth factor receptor 2,B,CHEMBL330621,=,nM,19.0,CHEMBL279,Homo sapiens,IC50
34671,CHEMBL816964,Inhibition of tyrosine phosphorylation in cells expressing human VEGFR2 (Flk-1/KDR) kinase,B,CHEMBL304271,=,nM,360.0,CHEMBL279,Homo sapiens,IC50
35519,CHEMBL812621,Inhibitory activity towards vascular endothelial growth factor receptor 2,B,CHEMBL98896,=,nM,23.0,CHEMBL279,Homo sapiens,IC50
37861,CHEMBL812621,Inhibitory activity towards vascular endothelial growth factor receptor 2,B,CHEMBL98653,=,nM,240.0,CHEMBL279,Homo sapiens,IC50
37862,CHEMBL812621,Inhibitory activity towards vascular endothelial growth factor receptor 2,B,CHEMBL319065,=,nM,6.0,CHEMBL279,Homo sapiens,IC50
39110,CHEMBL812621,Inhibitory activity towards vascular endothelial growth factor receptor 2,B,CHEMBL328644,=,nM,124.0,CHEMBL279,Homo sapiens,IC50
40257,CHEMBL812621,Inhibitory activity towards vascular endothelial growth factor receptor 2,B,CHEMBL98385,=,nM,10.0,CHEMBL279,Homo sapiens,IC50
40693,CHEMBL817617,Inhibition of Vascular endothelial growth factor receptor 2 at 5 uM ATP,B,CHEMBL419082,=,nM,1000.0,CHEMBL279,Homo sapiens,IC50
41449,CHEMBL812621,Inhibitory activity towards vascular endothelial growth factor receptor 2,B,CHEMBL318728,=,nM,134.0,CHEMBL279,Homo sapiens,IC50
