molecule_chembl_id,IC50,units,smiles,pIC50
CHEMBL388978,0.298,nM,CN[C@@H]1C[C@H]2O[C@@](C)([C@@H]1OC)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4,9.525783735923746
CHEMBL4635883,8.0,nM,CC(C)c1cc(Nc2nc(N3CCC[C@H](N)C3)ncc2C(N)=O)cc(C(C)C)n1,8.096910013008056
CHEMBL4633229,22.0,nM,CC(C)(C#N)c1cc(Nc2nc(N3CCC[C@H](N)C3)ncc2C(N)=O)cc(-c2ccccc2)c1,7.657577319177793
CHEMBL4640712,26.0,nM,CC(C)(C#N)c1cc(Nc2nc(N3CCC[C@H](N)C3)ncc2C(N)=O)cc(C(C)(C)C#N)c1,7.585026652029182
CHEMBL4632457,27.0,nM,CC(C)(C)c1cc(Nc2nc(N3CCC[C@H](N)C3)ncc2C(N)=O)cc(S(C)(=O)=O)c1,7.568636235841012
CHEMBL4644948,47.0,nM,NC(=O)c1cnc(N2CCC[C@H](N)C2)nc1Nc1cccc(-c2ccccc2)c1,7.327902142064282
CHEMBL288441,92.0,nM,COc1cc(Nc2c(C#N)cnc3cc(OCCCN4CCN(C)CC4)c(OC)cc23)c(Cl)cc1Cl,7.036212172654444
CHEMBL4640492,96.0,nM,CC(C)(C#N)c1cccc(Nc2nc(N3CCC[C@H](N)C3)ncc2C(N)=O)c1,7.017728766960431
CHEMBL4640445,101.0,nM,CS(=O)(=O)c1cccc(Nc2nc(N3CCC[C@H](N)C3)ncc2C(N)=O)c1,6.995678626217357
CHEMBL4634851,115.0,nM,CC(C)c1cc(Nc2nc(N3CCC[C@H](N)C3)ncc2C(N)=O)cc(C(C)C)c1,6.939302159646388
CHEMBL1835063,179.0,nM,NC(=O)c1cnc(N2CCC[C@H](N)C2)nc1Nc1cccc(C(F)(F)F)c1,6.747146969020107
CHEMBL4632574,277.0,nM,CC(C)(C)c1cccc(Nc2nc(N3CCC[C@H](N)C3)ncc2C(N)=O)c1,6.557520230935552
CHEMBL4648967,399.0,nM,CC(C)(C)c1cc(Nc2nc(N3CCC[C@H](N)C3)ncc2C(N)=O)cc(C(C)(C)C)c1,6.399027104313252
CHEMBL4639597,455.0,nM,NC(=O)c1cnc(N2CCC[C@H](N)C2)nc1Nc1cc(C(F)(F)F)cc(C(F)(F)F)c1,6.341988603342887
CHEMBL471901,456.0,nM,NCCNc1ncc(C(N)=O)c(Nc2cccc(C(F)(F)F)c2)n1,6.341035157335565
CHEMBL4644912,485.0,nM,NC(=O)c1cnc(N2CCCC(N)C2)nc1Nc1cccc(C(F)(F)F)c1,6.314258261397736
CHEMBL4642539,851.0,nM,CN(CCN)c1ncc(C(N)=O)c(Nc2cccc(C(F)(F)F)c2)n1,6.070070439915412
CHEMBL4640950,1350.0,nM,NC(=O)c1cnc(N2CCC[C@@H](N)C2)nc1Nc1cccc(C(F)(F)F)c1,5.8696662315049934
CHEMBL2006765,2480.0,nM,CCCNC(=O)c1ccc(Nc2nc(NCC(F)(F)F)c3cc[nH]c3n2)cc1,5.605548319173783
CHEMBL4795714,3000.0,nM,CCCCCn1cc(-c2ccccc2OCc2ccccc2)nc1N.Cl,5.522878745280337
CHEMBL4632887,3490.0,nM,CNCCN(C)c1ncc(C(N)=O)c(Nc2cccc(C(F)(F)F)c2)n1,5.45717457304082
