activity_id,assay_chembl_id,assay_description,assay_type,molecule_chembl_id,relation,standard_units,standard_value,target_chembl_id,target_organism,type
17692650,CHEMBL3887160,"Inhibition Assay: Test compounds dissolved and diluted in DMSO (2 μl) were added to a reaction mixture comprising 10 μl of 5× Reaction Buffer (40 mM MOPS pH 7.0, 5 mM EDTA), 10 μl of recombinant human PIM2 solution (4 ng PIM-2 dissolved in dilution buffer (20 mM MOPS pH 7.0; EDTA 1 mM; 5% Glycerol; 0.01% Brij 35; 0.1%; 0.1% 2-mercaptoethanol; 1 mg/ml BSA)) and 8 ul of water. Reactions were initiated by the addition of 10 ul of ATP Solution (49% (15 mM MgCl2; 75 uM ATP) 1% ([γ-33P]ATP: Stock 1 mCi/100 μl; 3000 Ci/mmol (Perkin Elmer)) and 10 ul of substrate peptide solution (RSRSSYPAGT (SEQ ID NO.: 6), dissolved in water at a concentration of 1 mM), Reactions were maintained for 10 min at 30° C. The reactions were quenched with 100 ul of 0.75% Phosphoric acid, then transferred to and filtered through a Phosphocellulose filter plate (Millipore, MSPH-N6B-50). After washing each well 4 times with 0.75% Phosphoric acid, scintillation fluid (20 uL) was added to each well and the resid",B,CHEMBL3911397,=,nM,3824.0,CHEMBL2358,Homo sapiens,IC50
17692651,CHEMBL3887160,"Inhibition Assay: Test compounds dissolved and diluted in DMSO (2 μl) were added to a reaction mixture comprising 10 μl of 5× Reaction Buffer (40 mM MOPS pH 7.0, 5 mM EDTA), 10 μl of recombinant human PIM2 solution (4 ng PIM-2 dissolved in dilution buffer (20 mM MOPS pH 7.0; EDTA 1 mM; 5% Glycerol; 0.01% Brij 35; 0.1%; 0.1% 2-mercaptoethanol; 1 mg/ml BSA)) and 8 ul of water. Reactions were initiated by the addition of 10 ul of ATP Solution (49% (15 mM MgCl2; 75 uM ATP) 1% ([γ-33P]ATP: Stock 1 mCi/100 μl; 3000 Ci/mmol (Perkin Elmer)) and 10 ul of substrate peptide solution (RSRSSYPAGT (SEQ ID NO.: 6), dissolved in water at a concentration of 1 mM), Reactions were maintained for 10 min at 30° C. The reactions were quenched with 100 ul of 0.75% Phosphoric acid, then transferred to and filtered through a Phosphocellulose filter plate (Millipore, MSPH-N6B-50). After washing each well 4 times with 0.75% Phosphoric acid, scintillation fluid (20 uL) was added to each well and the resid",B,CHEMBL3964004,=,nM,3745.0,CHEMBL2358,Homo sapiens,IC50
17692652,CHEMBL3887160,"Inhibition Assay: Test compounds dissolved and diluted in DMSO (2 μl) were added to a reaction mixture comprising 10 μl of 5× Reaction Buffer (40 mM MOPS pH 7.0, 5 mM EDTA), 10 μl of recombinant human PIM2 solution (4 ng PIM-2 dissolved in dilution buffer (20 mM MOPS pH 7.0; EDTA 1 mM; 5% Glycerol; 0.01% Brij 35; 0.1%; 0.1% 2-mercaptoethanol; 1 mg/ml BSA)) and 8 ul of water. Reactions were initiated by the addition of 10 ul of ATP Solution (49% (15 mM MgCl2; 75 uM ATP) 1% ([γ-33P]ATP: Stock 1 mCi/100 μl; 3000 Ci/mmol (Perkin Elmer)) and 10 ul of substrate peptide solution (RSRSSYPAGT (SEQ ID NO.: 6), dissolved in water at a concentration of 1 mM), Reactions were maintained for 10 min at 30° C. The reactions were quenched with 100 ul of 0.75% Phosphoric acid, then transferred to and filtered through a Phosphocellulose filter plate (Millipore, MSPH-N6B-50). After washing each well 4 times with 0.75% Phosphoric acid, scintillation fluid (20 uL) was added to each well and the resid",B,CHEMBL3954352,=,nM,19744.0,CHEMBL2358,Homo sapiens,IC50
17692653,CHEMBL3887160,"Inhibition Assay: Test compounds dissolved and diluted in DMSO (2 μl) were added to a reaction mixture comprising 10 μl of 5× Reaction Buffer (40 mM MOPS pH 7.0, 5 mM EDTA), 10 μl of recombinant human PIM2 solution (4 ng PIM-2 dissolved in dilution buffer (20 mM MOPS pH 7.0; EDTA 1 mM; 5% Glycerol; 0.01% Brij 35; 0.1%; 0.1% 2-mercaptoethanol; 1 mg/ml BSA)) and 8 ul of water. Reactions were initiated by the addition of 10 ul of ATP Solution (49% (15 mM MgCl2; 75 uM ATP) 1% ([γ-33P]ATP: Stock 1 mCi/100 μl; 3000 Ci/mmol (Perkin Elmer)) and 10 ul of substrate peptide solution (RSRSSYPAGT (SEQ ID NO.: 6), dissolved in water at a concentration of 1 mM), Reactions were maintained for 10 min at 30° C. The reactions were quenched with 100 ul of 0.75% Phosphoric acid, then transferred to and filtered through a Phosphocellulose filter plate (Millipore, MSPH-N6B-50). After washing each well 4 times with 0.75% Phosphoric acid, scintillation fluid (20 uL) was added to each well and the resid",B,CHEMBL3975604,=,nM,17316.0,CHEMBL2358,Homo sapiens,IC50
17692654,CHEMBL3887160,"Inhibition Assay: Test compounds dissolved and diluted in DMSO (2 μl) were added to a reaction mixture comprising 10 μl of 5× Reaction Buffer (40 mM MOPS pH 7.0, 5 mM EDTA), 10 μl of recombinant human PIM2 solution (4 ng PIM-2 dissolved in dilution buffer (20 mM MOPS pH 7.0; EDTA 1 mM; 5% Glycerol; 0.01% Brij 35; 0.1%; 0.1% 2-mercaptoethanol; 1 mg/ml BSA)) and 8 ul of water. Reactions were initiated by the addition of 10 ul of ATP Solution (49% (15 mM MgCl2; 75 uM ATP) 1% ([γ-33P]ATP: Stock 1 mCi/100 μl; 3000 Ci/mmol (Perkin Elmer)) and 10 ul of substrate peptide solution (RSRSSYPAGT (SEQ ID NO.: 6), dissolved in water at a concentration of 1 mM), Reactions were maintained for 10 min at 30° C. The reactions were quenched with 100 ul of 0.75% Phosphoric acid, then transferred to and filtered through a Phosphocellulose filter plate (Millipore, MSPH-N6B-50). After washing each well 4 times with 0.75% Phosphoric acid, scintillation fluid (20 uL) was added to each well and the resid",B,CHEMBL3942463,=,nM,4732.0,CHEMBL2358,Homo sapiens,IC50
17692655,CHEMBL3887160,"Inhibition Assay: Test compounds dissolved and diluted in DMSO (2 μl) were added to a reaction mixture comprising 10 μl of 5× Reaction Buffer (40 mM MOPS pH 7.0, 5 mM EDTA), 10 μl of recombinant human PIM2 solution (4 ng PIM-2 dissolved in dilution buffer (20 mM MOPS pH 7.0; EDTA 1 mM; 5% Glycerol; 0.01% Brij 35; 0.1%; 0.1% 2-mercaptoethanol; 1 mg/ml BSA)) and 8 ul of water. Reactions were initiated by the addition of 10 ul of ATP Solution (49% (15 mM MgCl2; 75 uM ATP) 1% ([γ-33P]ATP: Stock 1 mCi/100 μl; 3000 Ci/mmol (Perkin Elmer)) and 10 ul of substrate peptide solution (RSRSSYPAGT (SEQ ID NO.: 6), dissolved in water at a concentration of 1 mM), Reactions were maintained for 10 min at 30° C. The reactions were quenched with 100 ul of 0.75% Phosphoric acid, then transferred to and filtered through a Phosphocellulose filter plate (Millipore, MSPH-N6B-50). After washing each well 4 times with 0.75% Phosphoric acid, scintillation fluid (20 uL) was added to each well and the resid",B,CHEMBL3895196,=,nM,31641.0,CHEMBL2358,Homo sapiens,IC50
17692656,CHEMBL3887160,"Inhibition Assay: Test compounds dissolved and diluted in DMSO (2 μl) were added to a reaction mixture comprising 10 μl of 5× Reaction Buffer (40 mM MOPS pH 7.0, 5 mM EDTA), 10 μl of recombinant human PIM2 solution (4 ng PIM-2 dissolved in dilution buffer (20 mM MOPS pH 7.0; EDTA 1 mM; 5% Glycerol; 0.01% Brij 35; 0.1%; 0.1% 2-mercaptoethanol; 1 mg/ml BSA)) and 8 ul of water. Reactions were initiated by the addition of 10 ul of ATP Solution (49% (15 mM MgCl2; 75 uM ATP) 1% ([γ-33P]ATP: Stock 1 mCi/100 μl; 3000 Ci/mmol (Perkin Elmer)) and 10 ul of substrate peptide solution (RSRSSYPAGT (SEQ ID NO.: 6), dissolved in water at a concentration of 1 mM), Reactions were maintained for 10 min at 30° C. The reactions were quenched with 100 ul of 0.75% Phosphoric acid, then transferred to and filtered through a Phosphocellulose filter plate (Millipore, MSPH-N6B-50). After washing each well 4 times with 0.75% Phosphoric acid, scintillation fluid (20 uL) was added to each well and the resid",B,CHEMBL3963356,=,nM,32822.0,CHEMBL2358,Homo sapiens,IC50
17757237,CHEMBL3887160,"Inhibition Assay: Test compounds dissolved and diluted in DMSO (2 μl) were added to a reaction mixture comprising 10 μl of 5× Reaction Buffer (40 mM MOPS pH 7.0, 5 mM EDTA), 10 μl of recombinant human PIM2 solution (4 ng PIM-2 dissolved in dilution buffer (20 mM MOPS pH 7.0; EDTA 1 mM; 5% Glycerol; 0.01% Brij 35; 0.1%; 0.1% 2-mercaptoethanol; 1 mg/ml BSA)) and 8 ul of water. Reactions were initiated by the addition of 10 ul of ATP Solution (49% (15 mM MgCl2; 75 uM ATP) 1% ([γ-33P]ATP: Stock 1 mCi/100 μl; 3000 Ci/mmol (Perkin Elmer)) and 10 ul of substrate peptide solution (RSRSSYPAGT (SEQ ID NO.: 6), dissolved in water at a concentration of 1 mM), Reactions were maintained for 10 min at 30° C. The reactions were quenched with 100 ul of 0.75% Phosphoric acid, then transferred to and filtered through a Phosphocellulose filter plate (Millipore, MSPH-N6B-50). After washing each well 4 times with 0.75% Phosphoric acid, scintillation fluid (20 uL) was added to each well and the resid",B,CHEMBL3940271,=,nM,1300.0,CHEMBL2358,Homo sapiens,IC50
17757346,CHEMBL3887160,"Inhibition Assay: Test compounds dissolved and diluted in DMSO (2 μl) were added to a reaction mixture comprising 10 μl of 5× Reaction Buffer (40 mM MOPS pH 7.0, 5 mM EDTA), 10 μl of recombinant human PIM2 solution (4 ng PIM-2 dissolved in dilution buffer (20 mM MOPS pH 7.0; EDTA 1 mM; 5% Glycerol; 0.01% Brij 35; 0.1%; 0.1% 2-mercaptoethanol; 1 mg/ml BSA)) and 8 ul of water. Reactions were initiated by the addition of 10 ul of ATP Solution (49% (15 mM MgCl2; 75 uM ATP) 1% ([γ-33P]ATP: Stock 1 mCi/100 μl; 3000 Ci/mmol (Perkin Elmer)) and 10 ul of substrate peptide solution (RSRSSYPAGT (SEQ ID NO.: 6), dissolved in water at a concentration of 1 mM), Reactions were maintained for 10 min at 30° C. The reactions were quenched with 100 ul of 0.75% Phosphoric acid, then transferred to and filtered through a Phosphocellulose filter plate (Millipore, MSPH-N6B-50). After washing each well 4 times with 0.75% Phosphoric acid, scintillation fluid (20 uL) was added to each well and the resid",B,CHEMBL3955320,=,nM,313.9,CHEMBL2358,Homo sapiens,IC50
17757667,CHEMBL3887160,"Inhibition Assay: Test compounds dissolved and diluted in DMSO (2 μl) were added to a reaction mixture comprising 10 μl of 5× Reaction Buffer (40 mM MOPS pH 7.0, 5 mM EDTA), 10 μl of recombinant human PIM2 solution (4 ng PIM-2 dissolved in dilution buffer (20 mM MOPS pH 7.0; EDTA 1 mM; 5% Glycerol; 0.01% Brij 35; 0.1%; 0.1% 2-mercaptoethanol; 1 mg/ml BSA)) and 8 ul of water. Reactions were initiated by the addition of 10 ul of ATP Solution (49% (15 mM MgCl2; 75 uM ATP) 1% ([γ-33P]ATP: Stock 1 mCi/100 μl; 3000 Ci/mmol (Perkin Elmer)) and 10 ul of substrate peptide solution (RSRSSYPAGT (SEQ ID NO.: 6), dissolved in water at a concentration of 1 mM), Reactions were maintained for 10 min at 30° C. The reactions were quenched with 100 ul of 0.75% Phosphoric acid, then transferred to and filtered through a Phosphocellulose filter plate (Millipore, MSPH-N6B-50). After washing each well 4 times with 0.75% Phosphoric acid, scintillation fluid (20 uL) was added to each well and the resid",B,CHEMBL3976484,=,nM,253.2,CHEMBL2358,Homo sapiens,IC50
