activity_id,assay_chembl_id,assay_description,assay_type,molecule_chembl_id,relation,standard_units,standard_value,target_chembl_id,target_organism,type,units,value
1857145,CHEMBL915562,Inhibition of STAT6 in human IL4-stimulated FW4 cells,B,CHEMBL376085,=,nM,190.0,CHEMBL5401,Homo sapiens,IC50,nM,190.0
1857146,CHEMBL915562,Inhibition of STAT6 in human IL4-stimulated FW4 cells,B,CHEMBL226930,=,nM,30.0,CHEMBL5401,Homo sapiens,IC50,nM,30.0
1857147,CHEMBL915562,Inhibition of STAT6 in human IL4-stimulated FW4 cells,B,CHEMBL228192,=,nM,21.0,CHEMBL5401,Homo sapiens,IC50,nM,21.0
1857148,CHEMBL915562,Inhibition of STAT6 in human IL4-stimulated FW4 cells,B,CHEMBL374380,=,nM,88.0,CHEMBL5401,Homo sapiens,IC50,nM,88.0
1857149,CHEMBL915562,Inhibition of STAT6 in human IL4-stimulated FW4 cells,B,CHEMBL427436,=,nM,100.0,CHEMBL5401,Homo sapiens,IC50,nM,100.0
1857150,CHEMBL915562,Inhibition of STAT6 in human IL4-stimulated FW4 cells,B,CHEMBL227804,=,nM,410.0,CHEMBL5401,Homo sapiens,IC50,nM,410.0
1857151,CHEMBL915562,Inhibition of STAT6 in human IL4-stimulated FW4 cells,B,CHEMBL227803,=,nM,8200.0,CHEMBL5401,Homo sapiens,IC50,nM,8200.0
1857152,CHEMBL915562,Inhibition of STAT6 in human IL4-stimulated FW4 cells,B,CHEMBL374977,=,nM,1100.0,CHEMBL5401,Homo sapiens,IC50,nM,1100.0
1857153,CHEMBL915562,Inhibition of STAT6 in human IL4-stimulated FW4 cells,B,CHEMBL389452,=,nM,380.0,CHEMBL5401,Homo sapiens,IC50,nM,380.0
1857154,CHEMBL915562,Inhibition of STAT6 in human IL4-stimulated FW4 cells,B,CHEMBL227748,=,nM,170.0,CHEMBL5401,Homo sapiens,IC50,nM,170.0
1857155,CHEMBL915562,Inhibition of STAT6 in human IL4-stimulated FW4 cells,B,CHEMBL389647,=,nM,83.0,CHEMBL5401,Homo sapiens,IC50,nM,83.0
1857156,CHEMBL915562,Inhibition of STAT6 in human IL4-stimulated FW4 cells,B,CHEMBL228018,=,nM,45.0,CHEMBL5401,Homo sapiens,IC50,nM,45.0
1857157,CHEMBL915562,Inhibition of STAT6 in human IL4-stimulated FW4 cells,B,CHEMBL387668,=,nM,64.0,CHEMBL5401,Homo sapiens,IC50,nM,64.0
1857158,CHEMBL915562,Inhibition of STAT6 in human IL4-stimulated FW4 cells,B,CHEMBL388357,=,nM,660.0,CHEMBL5401,Homo sapiens,IC50,nM,660.0
1857159,CHEMBL915562,Inhibition of STAT6 in human IL4-stimulated FW4 cells,B,CHEMBL226770,=,nM,130.0,CHEMBL5401,Homo sapiens,IC50,nM,130.0
1857160,CHEMBL915562,Inhibition of STAT6 in human IL4-stimulated FW4 cells,B,CHEMBL226928,=,nM,3000.0,CHEMBL5401,Homo sapiens,IC50,nM,3000.0
2461251,CHEMBL982109,Inhibition of STAT6 activation in FW4 reporter cells,B,CHEMBL374380,=,nM,88.0,CHEMBL5401,Homo sapiens,IC50,nM,88.0
2461252,CHEMBL982109,Inhibition of STAT6 activation in FW4 reporter cells,B,CHEMBL488307,=,nM,88.0,CHEMBL5401,Homo sapiens,IC50,nM,88.0
2461253,CHEMBL982109,Inhibition of STAT6 activation in FW4 reporter cells,B,CHEMBL487451,=,nM,0.7,CHEMBL5401,Homo sapiens,IC50,nM,0.7
2461254,CHEMBL982109,Inhibition of STAT6 activation in FW4 reporter cells,B,CHEMBL519249,=,nM,1.8,CHEMBL5401,Homo sapiens,IC50,nM,1.8
2461255,CHEMBL982109,Inhibition of STAT6 activation in FW4 reporter cells,B,CHEMBL487450,=,nM,5.5,CHEMBL5401,Homo sapiens,IC50,nM,5.5
2461256,CHEMBL982109,Inhibition of STAT6 activation in FW4 reporter cells,B,CHEMBL519410,=,nM,2.2,CHEMBL5401,Homo sapiens,IC50,nM,2.2
2461257,CHEMBL982109,Inhibition of STAT6 activation in FW4 reporter cells,B,CHEMBL488814,=,nM,1.6,CHEMBL5401,Homo sapiens,IC50,nM,1.6
