molecule_chembl_id,IC50,units,smiles,pIC50
CHEMBL27061,14.0,nM,NCC(F)CON,7.853871964321762
CHEMBL26435,33.0,nM,NC[C@H](O)CON,7.481486060122112
CHEMBL1209776,35.0,nM,Cl.NCCCON,7.455931955649724
CHEMBL281021,35.0,nM,NCCCON,7.455931955649724
CHEMBL3216925,39.0,nM,Cl.Cl.NCC(O)CON,7.4089353929735005
CHEMBL26857,39.0,nM,NCC(O)CON,7.4089353929735005
CHEMBL284573,49.0,nM,NC[C@@H](O)CON,7.309803919971486
CHEMBL15650,93.0,nM,NCC(Cl)CON,7.031517051446065
CHEMBL282411,1100.0,nM,CS(=O)(=O)OC(CN)CON,5.958607314841775
CHEMBL26797,1900.0,nM,CNCC(O)CON,5.721246399047171
CHEMBL26945,3300.0,nM,NCC(F)CNN,5.481486060122112
CHEMBL25868,5200.0,nM,Cc1ncc(COP(=O)(O)O)c(/C=N/OCC(F)CN)c1O,5.2839966563652006
CHEMBL26669,8400.0,nM,C#CCNCC(O)CON,5.075720713938118
CHEMBL26418,21000.0,nM,C=CCNCC(O)CON,4.6777807052660805
CHEMBL27045,24000.0,nM,Cc1ncc(COP(=O)(O)O)c(/C=N/OCC(O)CN)c1O,4.619788758288394
CHEMBL26957,66000.0,nM,CC(C)NCC(O)CON,4.180456064458132
CHEMBL287667,670000.0,nM,NOCC(O)CON,3.173925197299174
