activity_id,assay_chembl_id,assay_description,assay_type,molecule_chembl_id,relation,standard_units,standard_value,target_chembl_id,target_organism,type,units,value
1813313,CHEMBL910807,Inhibition of NF-kappaB in human HEK293 cells,B,CHEMBL218163,=,nM,310.0,CHEMBL5533,Homo sapiens,IC50,uM,0.31
1813314,CHEMBL910807,Inhibition of NF-kappaB in human HEK293 cells,B,CHEMBL218434,=,nM,340.0,CHEMBL5533,Homo sapiens,IC50,uM,0.34
1813315,CHEMBL910807,Inhibition of NF-kappaB in human HEK293 cells,B,CHEMBL218282,=,nM,2100.0,CHEMBL5533,Homo sapiens,IC50,uM,2.1
1813316,CHEMBL910807,Inhibition of NF-kappaB in human HEK293 cells,B,CHEMBL384590,=,nM,230.0,CHEMBL5533,Homo sapiens,IC50,uM,0.23
2089042,CHEMBL945842,Inhibition of TNF-alpha-stimulated human NF-kappaB p65 RelA subunit nuclear translocation in HUVEC,B,CHEMBL403183,=,nM,3000.0,CHEMBL5533,Homo sapiens,IC50,uM,3.0
2089043,CHEMBL945842,Inhibition of TNF-alpha-stimulated human NF-kappaB p65 RelA subunit nuclear translocation in HUVEC,B,CHEMBL273148,=,nM,1200.0,CHEMBL5533,Homo sapiens,IC50,uM,1.2
2089044,CHEMBL945842,Inhibition of TNF-alpha-stimulated human NF-kappaB p65 RelA subunit nuclear translocation in HUVEC,B,CHEMBL273147,=,nM,2500.0,CHEMBL5533,Homo sapiens,IC50,uM,2.5
2089045,CHEMBL945842,Inhibition of TNF-alpha-stimulated human NF-kappaB p65 RelA subunit nuclear translocation in HUVEC,B,CHEMBL403333,=,nM,10000.0,CHEMBL5533,Homo sapiens,IC50,uM,10.0
2089046,CHEMBL945842,Inhibition of TNF-alpha-stimulated human NF-kappaB p65 RelA subunit nuclear translocation in HUVEC,B,CHEMBL273149,=,nM,900.0,CHEMBL5533,Homo sapiens,IC50,uM,0.9
2089048,CHEMBL945842,Inhibition of TNF-alpha-stimulated human NF-kappaB p65 RelA subunit nuclear translocation in HUVEC,B,CHEMBL270584,=,nM,2500.0,CHEMBL5533,Homo sapiens,IC50,uM,2.5
2089049,CHEMBL945842,Inhibition of TNF-alpha-stimulated human NF-kappaB p65 RelA subunit nuclear translocation in HUVEC,B,CHEMBL429599,=,nM,1100.0,CHEMBL5533,Homo sapiens,IC50,uM,1.1
2089050,CHEMBL945842,Inhibition of TNF-alpha-stimulated human NF-kappaB p65 RelA subunit nuclear translocation in HUVEC,B,CHEMBL270799,=,nM,1700.0,CHEMBL5533,Homo sapiens,IC50,uM,1.7
2089051,CHEMBL945842,Inhibition of TNF-alpha-stimulated human NF-kappaB p65 RelA subunit nuclear translocation in HUVEC,B,CHEMBL272553,=,nM,1200.0,CHEMBL5533,Homo sapiens,IC50,uM,1.2
2089052,CHEMBL945842,Inhibition of TNF-alpha-stimulated human NF-kappaB p65 RelA subunit nuclear translocation in HUVEC,B,CHEMBL272552,=,nM,1000.0,CHEMBL5533,Homo sapiens,IC50,uM,1.0
2089053,CHEMBL945842,Inhibition of TNF-alpha-stimulated human NF-kappaB p65 RelA subunit nuclear translocation in HUVEC,B,CHEMBL271669,=,nM,600.0,CHEMBL5533,Homo sapiens,IC50,uM,0.6
2089054,CHEMBL945842,Inhibition of TNF-alpha-stimulated human NF-kappaB p65 RelA subunit nuclear translocation in HUVEC,B,CHEMBL404128,=,nM,1000.0,CHEMBL5533,Homo sapiens,IC50,uM,1.0
2089056,CHEMBL945842,Inhibition of TNF-alpha-stimulated human NF-kappaB p65 RelA subunit nuclear translocation in HUVEC,B,CHEMBL428064,=,nM,1000.0,CHEMBL5533,Homo sapiens,IC50,uM,1.0
