molecule_chembl_id,IC50,units,smiles,pIC50
CHEMBL388978,0.298,nM,CN[C@@H]1C[C@H]2O[C@@](C)([C@@H]1OC)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4,9.525783735923746
CHEMBL4635883,8.0,nM,CC(C)c1cc(Nc2nc(N3CCC[C@H](N)C3)ncc2C(N)=O)cc(C(C)C)n1,8.096910013008056
CHEMBL388978,8.34,nM,CN[C@@H]1C[C@H]2O[C@@](C)([C@@H]1OC)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4,8.078833949362261
CHEMBL4633229,22.0,nM,CC(C)(C#N)c1cc(Nc2nc(N3CCC[C@H](N)C3)ncc2C(N)=O)cc(-c2ccccc2)c1,7.657577319177793
CHEMBL4640712,26.0,nM,CC(C)(C#N)c1cc(Nc2nc(N3CCC[C@H](N)C3)ncc2C(N)=O)cc(C(C)(C)C#N)c1,7.585026652029182
CHEMBL4632457,27.0,nM,CC(C)(C)c1cc(Nc2nc(N3CCC[C@H](N)C3)ncc2C(N)=O)cc(S(C)(=O)=O)c1,7.568636235841012
CHEMBL4644948,47.0,nM,NC(=O)c1cnc(N2CCC[C@H](N)C2)nc1Nc1cccc(-c2ccccc2)c1,7.327902142064282
CHEMBL3914148,48.7,nM,O=C1NC(=O)/C(=C/c2cnn3c(NC4CC4)cc(-c4ccncc4)nc23)N1,7.312471038785365
CHEMBL3922569,75.4,nM,N#Cc1cccc(-c2cc(NC3CC3)n3ncc(/C=C4\NC(=O)NC4=O)c3n2)c1,7.122628654130226
CHEMBL3933287,75.4,nM,O=C1NC(=O)/C(=C/c2cnn3c(NC4CC4)cc(-c4ccnc(F)c4)nc23)N1,7.122628654130226
CHEMBL288441,92.0,nM,COc1cc(Nc2c(C#N)cnc3cc(OCCCN4CCN(C)CC4)c(OC)cc23)c(Cl)cc1Cl,7.036212172654444
CHEMBL4640492,96.0,nM,CC(C)(C#N)c1cccc(Nc2nc(N3CCC[C@H](N)C3)ncc2C(N)=O)c1,7.017728766960431
CHEMBL4640445,101.0,nM,CS(=O)(=O)c1cccc(Nc2nc(N3CCC[C@H](N)C3)ncc2C(N)=O)c1,6.995678626217357
CHEMBL4634851,115.0,nM,CC(C)c1cc(Nc2nc(N3CCC[C@H](N)C3)ncc2C(N)=O)cc(C(C)C)c1,6.939302159646388
CHEMBL1835063,179.0,nM,NC(=O)c1cnc(N2CCC[C@H](N)C2)nc1Nc1cccc(C(F)(F)F)c1,6.747146969020107
CHEMBL3928114,197.8,nM,NCc1cccc(-c2cc(NC3CC3)n3ncc(/C=C4\SC(=O)NC4=O)c3n2)c1,6.70377371273884
CHEMBL3981518,209.0,nM,O=C1NC(=O)/C(=C/c2cnn3c([S+]([O-])Cc4ccccc4)cc(-c4cccc(Cl)c4)nc23)N1,6.679853713888946
CHEMBL3954706,217.6,nM,O=C1NC(=O)/C(=C/c2cnn3c(NC4CC4)cc(-c4ccnc(F)c4)nc23)S1,6.662341108973857
CHEMBL3976484,253.2,nM,N[C@H]1CC[C@H](Nc2cc(NC3CC3)n3ncc(/C=C4\NC(=O)NC4=O)c3n2)CC1,6.596536298654683
CHEMBL3978501,256.2,nM,O=C1NC(=O)/C(=C/c2cnn3c(NC4CC4)cc(-c4cccc(OCC5CC5)c4)nc23)N1,6.591420874591332
