molecule_chembl_id,IC50,units,smiles,pIC50,ro5_fulfilled,ROMol
CHEMBL5189340,0.023,nM,CN(C)c1ccc(/C=N/NC(=O)Cn2nc(Cc3ccc(Cl)cc3)c3ccccc3c2=O)cc1,10.638272163982409,True,<rdkit.Chem.rdchem.Mol object at 0x125422510>
CHEMBL429743,0.03,nM,COc1cc2nccc(Oc3ccc4c(C(=O)Nc5ccc(Cl)cc5)cccc4c3)c2cc1OC,10.522878745280336,True,<rdkit.Chem.rdchem.Mol object at 0x125422820>
CHEMBL5186748,0.12,nM,CNC(=O)c1cc(Oc2ccc(NC(=O)c3nn(-c4ccc(Cl)cc4)cc(C)c3=O)cc2)ccn1,9.920818753952377,True,<rdkit.Chem.rdchem.Mol object at 0x125422970>
CHEMBL3586072,0.14,nM,CNC(=O)c1ccc(-c2ccc(NC(=O)Nc3cc(Br)cc(C(F)(F)F)c3)cc2)cn1,9.853871964321762,True,<rdkit.Chem.rdchem.Mol object at 0x1254229e0>
CHEMBL3586071,0.15,nM,CNC(=O)c1cc(-c2ccc(NC(=O)Nc3ccc(Cl)c(C(F)(F)F)c3)cc2)ccn1,9.82390874094432,True,<rdkit.Chem.rdchem.Mol object at 0x125422a50>
CHEMBL1289494,0.16,nM,COc1cc2nccc(Oc3ccc(NC(=O)Nc4cc(C)on4)c(Cl)c3)c2cc1OC,9.795880017344077,True,<rdkit.Chem.rdchem.Mol object at 0x125422890>
CHEMBL2348996,0.19,nM,Cc1cc(C(=O)Nc2cccc(Oc3ccc4nc(NC(=O)C5CC5)cn4n3)c2)n(C)n1,9.721246399047171,True,<rdkit.Chem.rdchem.Mol object at 0x125422ba0>
CHEMBL426047,0.2,nM,COc1ccccc1NC(=O)Nc1ccc(Oc2ccnc3cc(OC)c(OC)cc23)cc1,9.69897000433602,True,<rdkit.Chem.rdchem.Mol object at 0x125422c10>
CHEMBL409512,0.2,nM,COc1cc2nccc(Oc3ccc4c(C(=O)Nc5ccc(Cl)cc5)cccc4c3)c2cc1C(N)=O,9.69897000433602,True,<rdkit.Chem.rdchem.Mol object at 0x125422c80>
CHEMBL272824,0.2,nM,COc1cc2nccc(Oc3ccc4c(C(=O)Nc5ccccc5)cccc4c3)c2cc1OC,9.69897000433602,True,<rdkit.Chem.rdchem.Mol object at 0x125422cf0>
CHEMBL368252,0.2,nM,COc1cc2nccc(Oc3ccc(NC(=O)Nc4ccccc4)cc3)c2cc1OC,9.69897000433602,True,<rdkit.Chem.rdchem.Mol object at 0x125422d60>
CHEMBL369760,0.2,nM,COc1cc2nccc(Oc3ccc(NC(=O)Nc4cccc(C)c4)cc3)c2cc1OC,9.69897000433602,True,<rdkit.Chem.rdchem.Mol object at 0x125422dd0>
CHEMBL411630,0.2,nM,COc1cc2nccc(Oc3ccc4c(c3)OCCN4C(=O)Nc3ccc(C)cc3)c2cc1OC,9.69897000433602,True,<rdkit.Chem.rdchem.Mol object at 0x125422e40>
CHEMBL3939307,0.2,nM,CNC(=O)c1ccccc1Sc1ccc2c(CCc3ccccn3)n[nH]c2c1,9.69897000433602,True,<rdkit.Chem.rdchem.Mol object at 0x125422eb0>
CHEMBL179165,0.2,nM,COc1cc2nccc(Oc3ccc(NC(=O)Nc4ccc(Cl)cc4)cc3)c2cc1OC,9.69897000433602,True,<rdkit.Chem.rdchem.Mol object at 0x125422f20>
