molecule_chembl_id,IC50,units,smiles,pIC50,ro5_fulfilled,ROMol
CHEMBL35820,0.006,nM,CCOc1cc2ncnc(Nc3cccc(Br)c3)c2cc1OCC,11.221848749616356,True,<rdkit.Chem.rdchem.Mol object at 0x7fbdb826e190>
CHEMBL53711,0.006,nM,CN(C)c1cc2c(Nc3cccc(Br)c3)ncnc2cn1,11.221848749616356,True,<rdkit.Chem.rdchem.Mol object at 0x7fbdb826e200>
CHEMBL53753,0.008,nM,CNc1cc2c(Nc3cccc(Br)c3)ncnc2cn1,11.096910013008056,True,<rdkit.Chem.rdchem.Mol object at 0x7fbdb826e270>
CHEMBL66031,0.008,nM,Brc1cccc(Nc2ncnc3cc4[nH]cnc4cc23)c1,11.096910013008056,True,<rdkit.Chem.rdchem.Mol object at 0x7fbdb826e2e0>
CHEMBL176582,0.01,nM,Cn1cnc2cc3ncnc(Nc4cccc(Br)c4)c3cc21,11.0,True,<rdkit.Chem.rdchem.Mol object at 0x7fbdb826e350>
CHEMBL29197,0.025,nM,COc1cc2ncnc(Nc3cccc(Br)c3)c2cc1OC,10.602059991327964,True,<rdkit.Chem.rdchem.Mol object at 0x7fbdb826e3c0>
CHEMBL174426,0.025,nM,Cn1cnc2cc3c(Nc4cccc(Br)c4)ncnc3cc21,10.602059991327964,True,<rdkit.Chem.rdchem.Mol object at 0x7fbdb826e430>
CHEMBL327307,0.072,nM,COc1cc2ncnc(Nc3ccc(Br)c(Br)c3)c2cc1OC,10.142667503568733,True,<rdkit.Chem.rdchem.Mol object at 0x7fbdb826e740>
CHEMBL53428,0.09,nM,CN(C)c1cc2ncnc(Nc3cccc(Br)c3)c2cn1,10.045757490560677,True,<rdkit.Chem.rdchem.Mol object at 0x7fbdb826e7b0>
CHEMBL4784258,0.1,nM,COc1cc(CN(C)CCN(C)C)ccc1-c1cc2c(N[C@H](CO)c3ccccc3)ncnc2[nH]1,10.0,True,<rdkit.Chem.rdchem.Mol object at 0x7fbdb826e820>
CHEMBL4760328,0.1,nM,CCOc1ccccc1-c1cc2c(N[C@H](CCO)c3ccccc3)ncnc2[nH]1,10.0,True,<rdkit.Chem.rdchem.Mol object at 0x7fbdb826e890>
CHEMBL5173517,0.1,nM,CC(C)c1cnc(N2CC(CS(C)(=O)=O)C2)c2cnc(Nc3ccnc(N4CC[C@@H](O)[C@@](C)(F)C4)n3)cc12,10.0,True,<rdkit.Chem.rdchem.Mol object at 0x7fbdb826ea50>
CHEMBL941,0.11,nM,Cc1ccc(NC(=O)c2ccc(CN3CCN(C)CC3)cc2)cc1Nc1nccc(-c2cccnc2)n1,9.958607314841776,True,<rdkit.Chem.rdchem.Mol object at 0x7fbdb826ecf0>
CHEMBL51853,0.13,nM,Nc1cc2c(Nc3cccc(Br)c3)ncnc2cn1,9.886056647693165,True,<rdkit.Chem.rdchem.Mol object at 0x7fbdb826ef20>
CHEMBL54400,0.13,nM,CNc1cc2ncnc(Nc3cccc(Br)c3)c2cn1,9.886056647693165,True,<rdkit.Chem.rdchem.Mol object at 0x7fbdb826f040>
CHEMBL5192793,0.15,nM,COc1ccc(-c2cc(=O)cc(-c3ccc(OC)cc3)o2)cc1,9.82390874094432,True,<rdkit.Chem.rdchem.Mol object at 0x7fbdb826f0b0>
CHEMBL592617,0.17,nM,N#CCC(=O)Nc1ccc2ncnc(Nc3cccc(Br)c3)c2c1,9.769551078621726,True,<rdkit.Chem.rdchem.Mol object at 0x7fbdb826f270>
CHEMBL418967,0.17,nM,CCCOc1cc2ncnc(Nc3cccc(Br)c3)c2cc1OCCC,9.769551078621726,True,<rdkit.Chem.rdchem.Mol object at 0x7fbdb826f2e0>
CHEMBL166093,0.18,nM,OCC(O)CNc1cc2c(Nc3cccc(Br)c3)ncnc2cn1,9.744727494896694,True,<rdkit.Chem.rdchem.Mol object at 0x7fbdb826f3c0>
CHEMBL165864,0.19,nM,OCCNc1cc2c(Nc3cccc(Br)c3)ncnc2cn1,9.721246399047171,True,<rdkit.Chem.rdchem.Mol object at 0x7fbdb826f430>
CHEMBL166154,0.19,nM,CNc1cc2c(Nc3cccc(Cl)c3)ncnc2cn1,9.721246399047171,True,<rdkit.Chem.rdchem.Mol object at 0x7fbdb826f4a0>
CHEMBL4164805,0.2,nM,COc1cc(CO)ccc1-c1cc2c(N[C@H](CO)c3ccccc3)ncnc2[nH]1,9.69897000433602,True,<rdkit.Chem.rdchem.Mol object at 0x7fbdb826f510>
CHEMBL4175024,0.2,nM,OCc1ccc(-c2cc3c(N[C@H](CO)c4ccccc4)ncnc3[nH]2)cc1,9.69897000433602,True,<rdkit.Chem.rdchem.Mol object at 0x7fbdb826f580>
CHEMBL4776396,0.2,nM,CCOc1ccccc1-c1cc2c(N[C@H](CO)c3ccccc3)ncnc2[nH]1,9.69897000433602,True,<rdkit.Chem.rdchem.Mol object at 0x7fbdb826f5f0>
CHEMBL5206444,0.2,nM,CC(C)c1ccc(N2CC(CS(C)(=O)=O)C2)c2cnc(Nc3ccnc(N4CC[C@@H](O)[C@@](C)(F)C4)n3)cc12,9.69897000433602,True,<rdkit.Chem.rdchem.Mol object at 0x7fbdb826f660>
CHEMBL5200991,0.2,nM,CC(C)c1cnc(N2C[C@H](CS(C)(=O)=O)[C@H]2C)c2cnc(Nc3ccnc(N4CC[C@@H](O)[C@@](C)(F)C4)n3)cc12,9.69897000433602,True,<rdkit.Chem.rdchem.Mol object at 0x7fbdb826f6d0>
CHEMBL161956,0.22,nM,CN(CCO)c1cc2c(Nc3cccc(Br)c3)ncnc2cn1,9.657577319177792,True,<rdkit.Chem.rdchem.Mol object at 0x7fbdb826f890>
CHEMBL2031300,0.23,nM,CN1CCN(CCC(=O)Nc2ccc3ncnc(Nc4cccc(Br)c4)c3c2)CC1,9.638272163982409,True,<rdkit.Chem.rdchem.Mol object at 0x7fbdb826fc10>
CHEMBL316064,0.24,nM,COc1cc2ncnc(Nc3cccc(C(F)(F)F)c3)c2cc1OC,9.619788758288394,True,<rdkit.Chem.rdchem.Mol object at 0x7fbdb826fc80>
